,title,price,description,colour,category
1371,2 pack padded bandeau bras,19.99,"bandeau bras in microfiber. elasticized upper edge, lined cups with removable inserts for shaping, wide lace trim at lower edge, and no fasteners. lace: polyamide 87%, elastane 13%",black light beige,lingerie
1372,soft cup lace bra,19.99,"soft cup bra in lace with triangular cups for a natural shape and light support. decorative crossover straps at front, narrow, adjustable shoulder straps, and wide lace trim at lower edge. no fasteners. lace: polyamide 88%, elastane 12%",black,lingerie
1373,fluffy turtleneck sweater,29.99,"boxy, knit turtleneck sweater in soft, fluffy chenille yarn. dropped shoulders, long sleeves, and ribbing at cuffs and hem. polyamide 68%, acrylic 31%, elastane 1%",cream,outerwear
1374,lace push up bra,19.99,"lace push up bra with padded, underwire cups to maximize bust and cleavage. narrow, crossover straps at front and narrow, adjustable shoulder straps. hook and eye fasteners at back. net: polyamide 82%, elastane 18%",black,lingerie
1375,rib knit dress,49.99,"fitted, calf length dress in a soft rib knit. v neck, buttons at front, and long sleeves. removable tie belt at waist. viscose 56%, polyester 29%, polyamide 15%",dark blue,dress
1376,sweater with lace details,29.99,"fine knit sweater in a viscose blend with lace details. round neckline and long sleeves. polyester 53%, viscose 43%, elastane 4%",pink melange,outerwear
1377,ribbed cashmere blend sweater,79.99,"premium quality. fitted sweater in airy, fine knit fabric made from a cashmere blend. short sleeves and wide ribbing at neckline. wool 70%, cashmere 30%",black,outerwear
1378,h&m+ pajamas,24.99,"pajama camisole top and shorts in woven viscose fabric. v neck camisole with lace trim at top and extra narrow, adjustable shoulder straps. shorts with smocking at waist, wide legs, and lace trim at hems. viscose 100%",dark blue white dark blue white dotted,loungewear
1379,ribbed wool leggings,69.99,"premium quality. rib knit leggings in soft merino wool. high waist, elasticized waistband with drawstring, and elasticized knit trim at hems. wool 100%",burgundy,bottoms
1380,h&m+ dress with smocking,34.99,"long dress in woven viscose fabric. round neckline. opening at back of neck with concealed button, long, wide raglan sleeves, and smocking at waist. rounded hem, slightly longer at back. unlined. viscose 100%",light beige red pink light beige floral,dress
1381,lace briefs high waist,14.99,"waist high briefs in lace with v shaped waist. cut out section at back with wide, ribbon ties in satin. lined gusset and high cut back. polyamide 87%, elastane 13%",dark red,lingerie
1382,jacquard knit sweater,17.99,"wide cut sweater in soft, jacquard knit fabric with a motif at front. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 100%",black red white orange black sesame street,outerwear
1383,h&m+ shirt dress,34.99,"knee length shirt dress in woven viscose fabric with a printed pattern. collar, buttons at front, and yoke at back with pleat. removable belt at waist and high slits at sides. unlined. viscose 100%",khaki green black khaki green leopard print,dress
1384,fine knit cardigan,34.99,"soft, fine knit cardigan with a lightly brushed finish. ribbed edges at front and a removable tie belt at waist. no buttons. viscose 80%, polyester 17%, elastane 3%",light beige melange,outerwear
1385,sports tights high waist,24.99,"3/4 length sports tights in fast drying functional fabric. high waist and wide waistband with concealed key pocket. polyester 88%, elastane 12%",dark gray melange,bottoms
1386,pajama culottes,17.99,"ankle length pajama pants in soft, woven viscose fabric. elasticized waistband and straight, wide legs. viscose 100%",light blue white light blue dotted,loungewear
1387,pajama camisole top and shorts,29.99,"pajama camisole top and shorts in soft satin with lace details. top with v neck and narrow, adjustable shoulder straps. shorts with narrow, elasticized waistband and short slits at sides. polyester 100%",dark brown black dark brown,loungewear
1388,mama fleece leggings,14.99,"leggings in soft fleece with space for a growing tummy. elasticized waist and hems. polyamide 97%, elastane 3%",solid-color black,bottoms
1389,h&m+ dress with belt,39.99,"knee length dress in woven fabric. v neck, concealed buttons at front, yoke at back with pleat, and long sleeves with buttons at cuffs. removable belt with metal d ring buckle. unlined. polyester 96%, elastane 4%",black beige black striped,dress
1390,mama jumpsuit with ties,49.99,"ankle length jumpsuit in soft, gently draped fabric. opening at back, button at back of neck, and elasticized seam below bust with a tie belt. short, flared sleeves and straight, wide legs. polyester 93%, elastane 7%",black black velour,jumpsuit
1391,h&m+ boat neck top,19.99,"straight cut top in thick cotton jersey with a boat neck, flock print on chest, and 3/4 length sleeves. rounded hem. cotton 100%",black white red black mickey mouse,tops
1392,soft cup lace bra,19.99,"soft cup bra in lace with unlined cups for natural shape and light support. narrow, adjustable shoulder straps and hook and eye fasteners at back. mesh: polyamide 82%, elastane 18%",silver-colored,lingerie
1393,fine knit wool poncho,129.00,"premium quality. short, fine knit poncho in a soft cashmere blend. ribbed turtleneck with slit at one side. wool 70%, cashmere 30%",dark beige,outerwear
1394,mama sports tights,29.99,"sports tights in fast drying, functional fabric with wide ribbing at waist for improved fit over tummy. polyester 79%, elastane 21%",black,bottoms
1395,mama slacks,29.99,"ankle length slacks in stretch jersey with tapered legs and short slits at hems. wide cotton jersey panel at waist for improved fit over tummy. polyester 85%, viscose 14%, elastane 1%",black white black houndstooth-patterned,maternity
1396,knit wool blend sweater,34.99,"premium quality. knit sweater in a soft, fluffy wool blend with a slightly boxy cut. dropped shoulders, long, wide sleeves, and ribbing at neckline, cuffs, and hem. wool 48%, alpaca 32%, polyester 20%",green melange,outerwear
1397,h&m+ top with beads,29.99,"supersoft sweatshirt in a viscose blend with a brushed finish. dropped shoulders and long sleeves with beaded appliqués. polyester 80%, viscose 18%, elastane 2%",light beige melange white light beige melange beads,tops
1398,nightgown with printed design,14.99,"nightgown in cotton blend jersey with a printed design. round neckline and short sleeves. rounded hem, slightly longer at back. viscose 50%, cotton 50%",black yellow beige red black pizza,loungewear
1399,mama skinny jeans,49.99,"jeans in washed stretch denim. mock front pockets, regular back pockets, and skinny legs. wide ribbing at waist for improved fit over tummy. cotton 86%, polyester 12%, elastane 2%",nan denim blue,jeans
1400,sports top with ties,12.99,"sleeveless, racerback sports top in soft, fast drying functional fabric. opening at back of hem with ties. polyester 100%",powder pink,tops
1401,2 pack padded lace bras,19.99,"lace bras with lightly padded, molded underwire cups for shaping and good support. narrow, adjustable shoulder straps and a narrow strap at back with hook and eye fasteners. wing lining: polyamide 88%, elastane 12%",white black,lingerie
1402,pajama top and shorts,17.99,"pajamas with a short sleeved top and shorts in soft jersey. straight cut top with printed motif at front. shorts with elasticized waistband. cotton 52%, modal 48%",taupe brown orange taupe chip ‘n’ dale,loungewear
1403,wide leg cashmere pants,129.00,"premium quality. fine knit pants in soft cashmere. low waist, covered, elasticized waistband, and straight, wide legs. cashmere 100%",dark brown,pants
1404,fine knit alpaca blend sweater,59.99,"boxy sweater in fine knit alpaca blend fabric. round, ribbed neckline, heavily dropped shoulders, and long balloon sleeves. wide ribbing at cuffs and hem. polyester 32%, alpaca 30%, wool 20%, polyamide 14%, elastane 4%",orange,outerwear
1405,mama maternity/nursing pajamas,34.99,"conscious. pajamas in soft jersey. top with a wrapover front, short sleeves, and gathers at side for improved fit over tummy. pants with wide, foldover ribbing at waist and ribbed hems. can be worn during pregnancy and while nursing afterwards. cotton content is organic. cotton 90%, viscose 10%",light gray melange black,loungewear
1406,2 pack padded cotton bras,17.99,"bras in cotton jersey with lace details and lightly padded, molded underwire cups for shaping and good support. narrow, adjustable shoulder straps and a narrow strap at back with hook and eye fastening. cup lining: polyester 100%",beige black,lingerie
1407,soft cup push up bralette,24.99,"soft cup push up bralette in lace with molded, padded cups to maximize bust and cleavage. narrow, adjustable shoulder straps, wide lace trim at lower edge, and no fasteners. cup lining: polyester 100%",black,lingerie
1408,ribbed sweater,49.99,"conscious. long, rib knit sweater with wool content. high, stand up collar, zip at top, and long raglan sleeves. ribbing at cuffs and hem. polyester content is recycled. polyester 64%, acrylic 30%, wool 6%",beige melange,outerwear
1409,ribbed top,24.99,"fitted, long sleeved top in rib knit cotton  blend fabric. v neck at front and back. cotton 48%, viscose 32%, polyamide 20%",black,tops
1410,v neck cashmere blend sweater,99.00,"studio collection/premium quality. knit sweater in a wool and cashmere blend with decorative seams. wide cut at top tapering to hem. low cut v neck at front, shallow v neck at back, and long, wide sleeves. straight cut hem. wool 95%, cashmere 5%",burgundy,outerwear
1411,push up bralette,17.99,bralette in lace with padded underwire cups and removable inserts to maximize bust and cleavage. adjustable shoulder straps and hook and eye fastening at back. lace: polyamide 100%,taupe,lingerie
1412,fine knit sweater,24.99,"sweater in a fine knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. slits at sides. slightly longer at back. acrylic 52%, polyester 27%, polyamide 12%, elastane 6%, wool 3%",light blue melange,outerwear
1413,cable knit sweater,34.99,"conscious. soft, cable knit sweater with wool content. rib knit stand up collar, wide raglan sleeves, and foldover ribbing at cuffs. polyester content is recycled. polyester 50%, acrylic 45%, wool 5%",dark turquoise,outerwear
1414,knit sweater with lacing,29.99,"sweater in a soft rib knit. low cut v neck at front with lacing. heavily dropped shoulders, long sleeves, and ribbing at cuffs and hem. acrylic 100%",burgundy,outerwear
1415,h&m+ asymmetric skirt,49.99,calf length skirt in woven viscose fabric with a printed pattern. elastication at back of waist and asymmetric hem. unlined. viscose 100%,dark blue dark blue patterned,skirts
1416,h&m+ off the shoulder blouse,24.99,"wide cut, off the shoulder blouse in woven, crinkled fabric. smocking at upper edge with ruffle trim. wide, 3/4 length trumpet sleeves. viscose 76%, polyamide 24%",white,tops
1417,h&m+ patterned wrapover skirt,34.99,"calf length skirt in airy, woven viscose fabric with a printed pattern. high waist and wrap front with ties at one side. unlined. viscose 100%",yellow white black yellow floral,skirts
1418,knit mock turtleneck dress,19.99,"short dress in soft, fine knit fabric. ribbed mock turtleneck, long sleeves, and a flared skirt. viscose 70%, polyamide 30%",dark gray melange,dress
1419,h&m+ top with motif,9.99,short sleeved top in cotton jersey with a motif. cotton 100%,black black paris,tops
1420,h&m+ jersey top with lace,9.99,top in soft viscose jersey with lace over shoulders. rounded hem. lace: polyester 100%,black,tops
