,title,price,brand,description,colour,category
611,xyla cami,30.00,Runway Bandits,all business in the front and party at the back – at least that’s what the,navy,tops
612,caleigh dress,39.00,Runway Bandits,"inspired by the fun-loving mods of the ‘60s, the",black,dress
613,caleigh dress,39.00,Runway Bandits,"inspired by the fun-loving mods of the ‘60s, the",navy,dress
614,xyla cami,30.00,Runway Bandits,all business in the front and party at the back – at least that’s what the,rust,tops
615,caleigh dress,39.00,Runway Bandits,"inspired by the fun-loving mods of the ‘60s, the",dusty violet,dress
616,xyla cami,30.00,Runway Bandits,all business in the front and party at the back – at least that’s what the,black,tops
617,caleigh dress,39.00,Runway Bandits,"inspired by the fun-loving mods of the ‘60s, the",olive,dress
618,caleigh dress,39.00,Runway Bandits,"inspired by the fun-loving mods of the ‘60s, the",burgundy,dress
619,kilths skirt,30.00,Runway Bandits,"high-waisted skirt with subtle slits at the seams.
high waist
small slits at seam
lined
concealed back zip
polyester blend",cream,skirts
620,inrin shirt,32.00,Runway Bandits,classic button-down shirt with a slanted breast pocket flap.,white,tops
621,mipha pullover,30.00,Runway Bandits,loose fit pullover cut from polyester blend.,light grey,tops
622,kilths skirt,30.00,Runway Bandits,"high-waisted skirt with subtle slits at the seams.
high waist
small slits at seam
lined
concealed back zip
polyester blend",black,skirts
623,sakara shirtdress,34.00,Runway Bandits,navy pinstriped shirtdress with a detachable self-tie sash.,navy,dress
624,inrin shirt,32.00,Runway Bandits,classic button-down shirt with a slanted breast pocket flap.,forest,tops
625,kilths skirt,30.00,Runway Bandits,"high-waisted skirt with subtle slits at the seams.
high waist
small slits at seam
lined
concealed back zip
polyester blend",jade,skirts
626,inrin shirt,32.00,Runway Bandits,classic button-down shirt with a slanted breast pocket flap.,navy,tops
627,emerson dress,42.00,Runway Bandits,"cut from a comfortable cotton polyester blend, the",rust,dress
628,cybil culottes,40.00,Runway Bandits,"sitting high on your waist, the",white,bottoms
629,statine dress,34.00,Runway Bandits,"fans of the classic shift dress, rejoice. the",navy,dress
630,emerson dress,42.00,Runway Bandits,"cut from a comfortable cotton polyester blend, the",black,dress
631,emerson dress,42.00,Runway Bandits,"cut from a comfortable cotton polyester blend, the",olive,dress
632,statine dress,34.00,Runway Bandits,"fans of the classic shift dress, rejoice. the",black,dress
633,emerson dress,42.00,Runway Bandits,"cut from a comfortable cotton polyester blend, the",navy,dress
634,roque blouse,32.00,Runway Bandits,oversized button-down blouse with a lapel collar.,dark wheat,tops
635,puffur top,30.00,Runway Bandits,basic multi-coloured striped tank top.,teal,tops
636,ornez jeans,34.00,Runway Bandits,tapered high-waisted denim jeans.,darkwash,bottoms
637,rixel shorts,32.00,Runway Bandits,high-waisted denim shorts with side slits.,lightwash,shorts
638,lowelle blouse,32.00,Runway Bandits,oversized button-down blouse with tortoiseshell buttons.,jade green,tops
639,aegan cami,33.00,Runway Bandits,"a more audacious version of the ivey cami we know and so love, the",taupe,tops
640,warner romper,40.00,Runway Bandits,"soft and comfortable, putting on the",navy,jumpsuits
641,trix dress,42.00,Runway Bandits,"great for long days at the office, the",sangria,dress
642,warner romper,40.00,Runway Bandits,"soft and comfortable, putting on the",black,jumpsuits
643,trix dress,42.00,Runway Bandits,"great for long days at the office, the",black,dress
644,aegan cami,33.00,Runway Bandits,"a more audacious version of the ivey cami we know and so love, the",glaucous blue,tops
645,trix dress,42.00,Runway Bandits,"great for long days at the office, the",atlantic blue,dress
646,warner romper,40.00,Runway Bandits,"soft and comfortable, putting on the",burnt orange,jumpsuits
647,trix dress,42.00,Runway Bandits,"great for long days at the office, the",ink blue,dress
648,jemin top,32.00,Runway Bandits,"button down cropped blouse with square neckline and puffed sleeves.
square neck
puffed sleeves
button down
unlined
cotton blend",mustard,tops
649,brix shorts,32.00,Runway Bandits,"high-waisted denim shorts with frayed hem.
frayed hem
unlined
cotton blend
note: runs small; advisable to size up.",white,shorts
